gfTerm	scheme	count	example	replaceWithGenreForm	moveToSubject
https://id.kb.se/term/sao/L%C3%A4ttl%C3%A4st	https://id.kb.se/term/sao	25	https://libris.kb.se/fzr7f2gr1sgpc44#it		
https://id.kb.se/term/sao/Viola	https://id.kb.se/term/sao	24	https://libris.kb.se/0jbfkpsb0d3bhm2#it		
https://id.kb.se/term/sao/Klassicism%20%28musik%29	https://id.kb.se/term/sao	24	https://libris.kb.se/p712ksv13bzgwk1#it		
https://id.kb.se/term/sao/Cembalo	https://id.kb.se/term/sao	23	https://libris.kb.se/7rkw6dkk2fkgfn1#it		
https://id.kb.se/term/sao/Fusion%20%28modern%20jazz%29	https://id.kb.se/term/sao	23	https://libris.kb.se/0jbf5k3b0gd8kbz#it		
https://id.kb.se/term/sao/Balettmusik	https://id.kb.se/term/sao	23	https://libris.kb.se/4nghvlxg48qmcmd#it		
https://id.kb.se/term/sao/Rekviem%20%28musik%29	https://id.kb.se/term/sao	23	https://libris.kb.se/6qjv899j44t6320#it		
https://id.kb.se/term/sao/Fantasier%20%28musik%29	https://id.kb.se/term/sao	23	https://libris.kb.se/bvnpm1wn3p52xr4#it		
https://id.kb.se/term/sao/Fugor	https://id.kb.se/term/sao	22	https://libris.kb.se/1kcgphwc534jfgf#it		
https://id.kb.se/term/sao/Folkdiktning	https://id.kb.se/term/sao	22	https://libris.kb.se/0h985hnb3lj5m1p#it		
https://id.kb.se/term/sao/Manga	https://id.kb.se/term/sao	22	https://libris.kb.se/l4xxnzrx4mqkjdz#it		
https://id.kb.se/term/sao/Pianosonater	https://id.kb.se/term/sao	22	https://libris.kb.se/5phl88qh0c0zcgx#it		
https://id.kb.se/term/sao/Bl%C3%A5sorkestrar	https://id.kb.se/term/sao	22	https://libris.kb.se/8slmf5gl57dbl9n#it		
https://id.kb.se/term/sao/Dramatisk%20och%20scenisk%20musik	https://id.kb.se/term/sao	22	https://libris.kb.se/dxq12q9q2gwkw42#it		
https://id.kb.se/term/sao/Syntpop	https://id.kb.se/term/sao	22	https://libris.kb.se/n601w1l00dx83qx#it		
https://id.kb.se/term/sao/S%C3%A4gner	https://id.kb.se/term/sao	21	https://libris.kb.se/k2vkz5mw3r3hnrm#it		
https://id.kb.se/term/sao/Marscher	https://id.kb.se/term/sao	21	https://libris.kb.se/l3wk0hjx0swzcsx#it		
https://id.kb.se/term/sao/Sonatiner	https://id.kb.se/term/sao	21	https://libris.kb.se/7qjfd34k0f7lwr4#it		
https://id.kb.se/term/sao/Skr%C3%A4ck	https://id.kb.se/term/sao	21	https://libris.kb.se/3mfks19f2sqv52x#it		
https://id.kb.se/term/sao/Kontrabas	https://id.kb.se/term/sao	20	https://libris.kb.se/1kcdrx8c3h348dn#it		
https://id.kb.se/term/sao/Piano%20%284%20h%C3%A4nder%29	https://id.kb.se/term/sao	19	https://libris.kb.se/n603783043dq5d7#it		
https://id.kb.se/term/sao/Utst%C3%A4llningar	https://id.kb.se/term/sao	19	https://libris.kb.se/0jbkx00b5jm3ghm#it		
https://id.kb.se/term/sao/Violoncell%20och%20piano	https://id.kb.se/term/sao	19	https://libris.kb.se/7rkxqh0k4hjbz2x#it		
https://id.kb.se/term/sao/Vokal%20jazz	https://id.kb.se/term/sao	19	https://libris.kb.se/xg8jnjg84kj6b5s#it		
https://id.kb.se/term/sao/Bl%C3%A5skvintetter	https://id.kb.se/term/sao	19	https://libris.kb.se/4ngpsrlg5lrcj7j#it		
https://id.kb.se/term/sao/Danser%20%28musik%29	https://id.kb.se/term/sao	18	https://libris.kb.se/g0sw51gs3kmdx6m#it		
https://id.kb.se/term/sao/Skillingtryck	https://id.kb.se/term/sao	18	https://libris.kb.se/q8224tl251stxwf#it		
https://id.kb.se/term/barn/F%C3%B6rm%C3%A4nskligade%20djur	https://id.kb.se/term/barn	18	https://libris.kb.se/gzrnlf3s3ppfz7h#it		
https://id.kb.se/term/sao/Brasskvintetter	https://id.kb.se/term/sao	18	https://libris.kb.se/vc5tc4r65f54p9j#it		
https://id.kb.se/term/sao/Motetter	https://id.kb.se/term/sao	18	https://libris.kb.se/q8231h225t0gh86#it		
https://id.kb.se/term/sao/Psykedelia	https://id.kb.se/term/sao	18	https://libris.kb.se/sb45ql540tgl8n0#it		
https://id.kb.se/term/sao/Rhythm%20%26%20blues	https://id.kb.se/term/sao	18	https://libris.kb.se/0jbdcltb36npq11#it		
https://id.kb.se/term/sao/Violinsonater	https://id.kb.se/term/sao	17	https://libris.kb.se/vc5vgvf64q0cgzj#it		
https://id.kb.se/term/sao/Ren%C3%A4ssansmusik	https://id.kb.se/term/sao	17	https://libris.kb.se/1kcc5fpc0bpqxgz#it		
https://id.kb.se/term/sao/Fagott	https://id.kb.se/term/sao	17	https://libris.kb.se/n5znkgc03cbd4r9#it		
https://id.kb.se/term/sao/Black%20metal	https://id.kb.se/term/sao	17	https://libris.kb.se/k3wzx77w51105pg#it		
