ID fysisk,ID digital,benämning på data.kb.se,benämning (2) på data.kb.se,weburn pdf,tif master,tif master (2),reginaid
16017586,18036628,"18036628,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036628,"https://data.kb.se/datasets/2014/10/suecia/18036628,1.tif",,004096251
16017620,18036629,"18036629,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036629,"https://data.kb.se/datasets/2014/10/suecia/18036629,1.tif",,004096252
16017976,18036630,"18036630,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036630,"https://data.kb.se/datasets/2014/10/suecia/18036630,1.tif",,004096253
16018058,18036631,"18036631,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036631,"https://data.kb.se/datasets/2014/10/suecia/18036631,1.tif",,004096254
16018275,18036632,"18036632,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036632,"https://data.kb.se/datasets/2014/10/suecia/18036632,1.tif",,004096255
16018566,18036633,"18036633,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036633,"https://data.kb.se/datasets/2014/10/suecia/18036633,1.tif",,004096256
16018615,18036634,"18036634,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036634,"https://data.kb.se/datasets/2014/10/suecia/18036634,1.tif",,004096257
16018621,18036635,"18036635,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036635,"https://data.kb.se/datasets/2014/10/suecia/18036635,1.tif",,004096258
16021952,18036636,"18036636,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036636,"https://data.kb.se/datasets/2014/10/suecia/18036636,1.tif",,004096259
16022022,18036637,"18036637,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036637,"https://data.kb.se/datasets/2014/10/suecia/18036637,1.tif",,004096260
16022042,18036638,"18036638,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036638,"https://data.kb.se/datasets/2014/10/suecia/18036638,1.tif",,004096261
