ID fysisk,ID digital,benämning på data.kb.se,weburn pdf,datakbse pdf,reginaid
8462341,saknas,8462341.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8462341,https://data.kb.se/datasets/2016/05/suecia/8462341.pdf,001925230
8462215,saknas,8462215.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8462215,https://data.kb.se/datasets/2016/05/suecia/8462215.pdf,001925244
8462195,saknas,8462195.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8462195,https://data.kb.se/datasets/2016/05/suecia/8462195.pdf,001925251
8462129,saknas,8462129.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8462129,https://data.kb.se/datasets/2016/05/suecia/8462129.pdf,001925254
8462098,saknas,8462098.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8462098,https://data.kb.se/datasets/2016/05/suecia/8462098.pdf,001925263
8462674,saknas,8462674.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8462674,https://data.kb.se/datasets/2016/05/suecia/8462674.pdf,001925334
8462660,saknas,8462660.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8462660,https://data.kb.se/datasets/2016/05/suecia/8462660.pdf,001925336
8462594,saknas,8462594.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8462594,https://data.kb.se/datasets/2016/05/suecia/8462594.pdf,001925350
8462572,saknas,8462572.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8462572,https://data.kb.se/datasets/2016/05/suecia/8462572.pdf,001925356
8462494,saknas,8462494.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8462494,https://data.kb.se/datasets/2016/05/suecia/8462494.pdf,001925377
8462480,saknas,8462480.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8462480,https://data.kb.se/datasets/2016/05/suecia/8462480.pdf,001925381
8462428,saknas,8462428.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8462428,https://data.kb.se/datasets/2016/05/suecia/8462428.pdf,001925385
8462416,saknas,8462416.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8462416,https://data.kb.se/datasets/2016/05/suecia/8462416.pdf,001925386
8462715,saknas,8462715.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8462715,https://data.kb.se/datasets/2016/05/suecia/8462715.pdf,001925396
8462935,saknas,8462935.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8462935,https://data.kb.se/datasets/2016/05/suecia/8462935.pdf,001925476
8463142,saknas,8463142.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8463142,https://data.kb.se/datasets/2016/05/suecia/8463142.pdf,001925489
8462887,saknas,8462887.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8462887,https://data.kb.se/datasets/2016/05/suecia/8462887.pdf,001925494
8463100,saknas,8463100.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8463100,https://data.kb.se/datasets/2016/05/suecia/8463100.pdf,001925497
8462856,saknas,8462856.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8462856,https://data.kb.se/datasets/2016/05/suecia/8462856.pdf,001925501
