LibrisCN_elekt;LibrisID_elekt;Status;url;epub;Omslagsbild
20904212;;LinkHld;https://litteraturbanken.se/författare/MollV/titlar/TillErinran/info;;
20904214;;LinkHld;https://litteraturbanken.se/författare/LindholmC/titlar/VeronicaOchNågraAndraDikter/info;;
20904210;;LinkHld;https://litteraturbanken.se/författare/TigerschiöldH/titlar/NyaDikter/info;;
21579405;;LinkHld;https://litteraturbanken.se/författare/WallinW/titlar/Gnistor/info;;
21581274;;LinkHld;https://litteraturbanken.se/författare/SantessonF/titlar/Kurre/info;;
21984871;;LinkHld;https://litteraturbanken.se/författare/LammGM/titlar/EfterlemnadeDikter/info;;
21984867;;LinkHld;https://litteraturbanken.se/författare/ThelanderC/titlar/Ronnebybilder/info;;
22149721;;LinkHld;https://litteraturbanken.se/författare/KlinckowströmA/titlar/SägnerOchSånger/info;;
22093154;;LinkHld;https://litteraturbanken.se/författare/WetterberghCA/titlar/FårGå/info;;
22271515;;LinkHld;https://litteraturbanken.se/författare/KléenE/titlar/HelgOchSöcken/info;;
21639440;;LinkHld;https://litteraturbanken.se/författare/NorlinM/titlar/InteriörerUrStockholmsHögreSällskapslif/info;;
;4df5lk472jk04759;LinkHld;https://litteraturbanken.se/författare/ÅbergJO/titlar/StålnäsJanne/info;;
;dnn242qgbx6f9j4g;LinkHld;https://litteraturbanken.se/författare/ÅbergJO/titlar/DenFörsteSnapphanen/info;;
;nxxbgz4glvhnrn9z;LinkHld;https://litteraturbanken.se/författare/BolanderM/titlar/KlockorPåSkansen/info;;
;jss6bfpqg3x2mk73;LinkHld;https://litteraturbanken.se/författare/AxelssonA/titlar/DetBortbytta/info;;
;5fg0xvkl3l4s1kvd;LinkHld;https://litteraturbanken.se/författare/SaxonJL/titlar/DärHemma/info;;
;dnqg4wqcbzjh14rw;LinkHld;https://litteraturbanken.se/författare/MagnellCJ/titlar/Ingeniör/info;;
;ktvdcs4gh9lw2r8x;LinkHld;https://litteraturbanken.se/författare/LangletM/titlar/FinDeSiecle/info;;
;7hl8ts6n5vqh8mhj;LinkHld;https://litteraturbanken.se/författare/NilssonLG/titlar/Immelen/info;;
;zbqn8f38w11h7592;LinkHld;https://litteraturbanken.se/författare/WiknerP/titlar/KulturOchFilosofi/info;;
;5j1fppbp3bj8hp06;LinkHld;https://litteraturbanken.se/författare/BruniusCG/titlar/AntiqvariskOchArkitektoniskResa/info;;
;x9pm692qvzg68c3p;LinkHld;https://litteraturbanken.se/författare/BjörlinG/titlar/FlyddaTider/info;;
20777467;;LinkHld;https://litteraturbanken.se/författare/PetersonG/titlar/SmåSmulor/info;;
20794294;;LinkHld;https://litteraturbanken.se/författare/WranérH/titlar/ISkånskaStugor/info;;
20204344;;LinkHld;https://litteraturbanken.se/författare/Bååth-HolmbergC/titlar/SydskånskaTeckningar/info;;
20775768;;LinkHld;https://litteraturbanken.se/författare/BjörlinG/titlar/Prokuratorn/info;;
21077517;;LinkHld;https://litteraturbanken.se/författare/BergströmA/titlar/MiniaturerFrånDetFria/info;;
20699346;;LinkHld;https://litteraturbanken.se/författare/BohmanJG/titlar/Fallfrukt/info;;
