LIBRIS_ID	Sigel	Location_Code_852$c	Placering_852$h$l
9067983	Jon	SKON	Fiction (English) MCCA
9970291	Jon	SKON	Fiction (English) MCCA
6939636	Jon	SKON	Fiction (English) MCCU
11395215	Jon	SKON	Fiction (English) MCDE
10401988	Jon	SKON	Fiction (English) MCEW
11454238	Jon	SKON	Fiction (English) MCEW
11809230	Jon	SKON	Fiction (English) MCEW
17529295	Jon	SKON	Fiction (English) MCEW
19540495	Jon	SKON	Fiction (English) MCEW
4529084	Jon	SKON	Fiction (English) MCEW
9893754	Jon	SKON	Fiction (English) MCEW
17237605	Jon	SKON	Fiction (English) MCPA
hrn5bjppfb4s7746	Jon	SKON	Fiction (English) MEJI
10937726	Jon	SKON	Fiction (English) MELO
12417262	Jon	SKON	Fiction (English) MEYE
6753338	Jon	SKON	Fiction (English) MIDD
11433896	Jon	SKON	Fiction (English) MILL
s39b74l4q6h81r2l	Jon	SKON	Fiction (English) MILL
140189270	Jon	SKON	Fiction (English) MILO
9829246	Jon	SKON	Fiction (English) MILT
13585391	Jon	SKON	Fiction (English) MO
7084000	Jon	SKON	Fiction (English) MO
2622257	Jon	SKON	Fiction (English) MOBE
6200469	Jon	SKON	Fiction (English) MOBE
6200470	Jon	SKON	Fiction (English) MOBE
6200471	Jon	SKON	Fiction (English) MOBE
13553854	Jon	SKON	Fiction (English) MOOR
085pkzm9xsqhjcgl	Jon	SKON	Fiction (English) MOOR
17412733	Jon	SKON	Fiction (English) MORR
4529101	Jon	SKON	Fiction (English) MORR
4529102	Jon	SKON	Fiction (English) MORR
4529104	Jon	SKON	Fiction (English) MORR
4529143	Jon	SKON	Fiction (English) MORR
9734927	Jon	SKON	Fiction (English) MORR
19775680	Jon	SKON	Fiction (English) MOYE
22277512	Jon	SKON	Fiction (English) MOYE
19451367	Jon	SKON	Fiction (English) MOYE
19668864	Jon	SKON	Fiction (English) MULL
4935499	Jon	SKON	Fiction (English) MUNG
140121617	Jon	SKON	Fiction (English) MUNR
11571297	Jon	SKON	Fiction (English) MUNR
11589669	Jon	SKON	Fiction (English) MUNR
12036792	Jon	SKON	Fiction (English) MUNR
11206333	Jon	SKON	Fiction (English) MURA
22277533	Jon	SKON	Fiction (English) MURA
9182697	Jon	SKON	Fiction (English) MURD
9767757	Jon	SKON	Fiction (English) MURD
17103959	Jon	SKON	Fiction (English) NADA
8275866	Jon	SKON	Fiction (English) NAIP
8283400	Jon	SKON	Fiction (English) NAIP
8968962	Jon	SKON	Fiction (English) NAIP
11202835	Jon	SKON	Fiction (English) NESB
14705326	Jon	SKON	Fiction (English) NESB
14742860	Jon	SKON	Fiction (English) NESS
19446582	Jon	SKON	Fiction (English) NEUV
4935254	Jon	SKON	Fiction (English) NGUG
11924919	Jon	SKON	Fiction (English) NICH
16234355	Jon	SKON	Fiction (English) NICH
21865320	Jon	SKON	Fiction (English) NORS
10691181	Jon	SKON	Fiction (English) OATE
4958464	Jon	SKON	Fiction (English) OATE
5030791	Jon	SKON	Fiction (English) OATE
8741114	Jon	SKON	Fiction (English) OATE
9059575	Jon	SKON	Fiction (English) OATE
9092249	Jon	SKON	Fiction (English) OATE
9129058	Jon	SKON	Fiction (English) OATE
9386793	Jon	SKON	Fiction (English) OATE
9543223	Jon	SKON	Fiction (English) OATE
9620808	Jon	SKON	Fiction (English) OATE
19282795	Jon	SKON	Fiction (English) OBIO
