instance_digital	sameAsIdentifier_digital	localEntityControlNumber_digital	marcDisplayText_digital	instance_physical	sameAsIdentifier_physical	localEntityControlNumber_physical	marcDisplayText_physical
3mfrd6sf2k5fw3m	19704043	19609507	Originalversion:	wf7k3hk715brphk	19609507	19704043	Digitaliserad version:
4ngsdrgg4lrs6np	19664114	7418262	Originalversion:	2kc764wd22xdq3r	7418262	19664114	Digitaliserad version:
h1t5sc7t5rqnp5z	19697785	7417903	Originalversion:	3ld875jf11xjlvv	7417903	19697785	Digitaliserad version:
h1tz1rft5bntj62	14227765	3619813	Originalversion:	3ld4khff2k55wft	3619813	14227765	Digitaliserad version:
9tmrks2m5rg4r8b	14800909	10360027	Orginalversion	wd66nxc713pj46s	10360027	14800909	Digitaliserad version
r93brsj30mm17p0	17029293	16870755	Originalversion:	5phqzbrh3nw1ssm	16870755	17029293	Digitaliserad version:
0jbqrrwb582t0hn	20883220	20708177	Orginalversion:	7rkzrjmk0fgm9p2	20708177	20883220	Digitaliserad version:
5phzx90h4wb68n5	22513065	22417634	Originalversion:	4ngxsqxg3n76dd6	22417634	22513065	Digitaliserad version:
8sl2zxcl4p9gntq	22446708	17063038	Orginalversion:	l4x5mvtx5bt4c3x	17063038	22446708	Digitaliserad version:
h1tx4sft2hm078d	13499665	7616163	Originalversion:	r82z55h330r7pxb	7616163	13499665	Digitaliserad version:
n60gccr03vcc16n	22447590	16974159	Orginalversion:	zh9jwzg95c99tb8	16974159	22447590	Digitaliserad version:
h1t6tjgt4b792rq	19729495	7418804	Originalversion:	4mf987kg5c6lcqx	7418804	19729495	Digitaliserad version:
h1tx5h8t287ffk6	13518415	2604171	Originalversion	cvnbk46p42c6r2r	2604171	13518415	Digitaliserad version
vd6gzts604lc57c	17918646	8351036	Originalversion	j1tqt4rv1h5zkb8	8351036	17918646	Digitaliserad version
8sl1s3ml465thg0	21505548	20876555	Orginalversion:	tc5klcb52fwn2rq	20876555	21505548	Digitaliserad version:
fzr6z6nr4xc9b82	21504533	2772201	Originalversion:	cvncrcwp3nkrhh2	2772201	21504533	Digitaliserad version:
p71c0t1155fd455	19704601	7416289	Originalversion:	9slgf9xm43b08tg	7416289	19704601	Digitaliserad version:
wf7jv5x72nltdpj	18628837	2418882	Originalversion	2kc11z1d3j9rxv2	2418882	18628837	Digitaliserad version
xg8l7xf84xhqb05	19701158	7418463	Originalversion:	r82xwtt30x1z68z	7418463	19701158	Digitaliserad version:
sb4fr2341fh39c7	18629074	2647404	Originalversion	gzrfqtbs2k84802	2647404	18629074	Digitaliserad version
zh9kz6v93vcj6h0	17844819	824106	Originalversion	vc5rvpv6355mwfr	824106	17844819	Digitaliserad version
4ngl3k4g4dtbgr4	14556314	8210371	Originalversion	p60wt3n11fq43ms	8210371	14556314	Digitaliserad version
h1t2q6bt24fk92p	17209375	8390062	Originalversion:	dwpmqg0q1ldldvd	8390062	17209375	Digitaliserad version:
