entity	originDate	originPlace	marc:version
Psalmboken 1745 Lund.	1745	Lund.	
Psalmboken 1745 Sthlm Merckell	1745	Sthlm	Merckell
Psalmboken 1745 Sthlm Röpke.	1745	Sthlm	Röpke.
Psalmboken 1745 Sthlm Salvius.	1745	Sthlm	Salvius.
Psalmboken 1746 Sthlm Röpke.	1746	Sthlm	Röpke.
Psalmboken 1746 Sthlm Schneidler.	1746	Sthlm	Schneidler.
Psalmboken 1747 Göteborg Lange	1747	Göteborg	Lange
Psalmboken 1747 Sthlm Kongl.tr.	1747	Sthlm	Kongl.tr.
Psalmboken 1748 Sthlm Schneidler.	1748	Sthlm	Schneidler.
Psalmboken 1749 Gbg.	1749	Gbg.	
Psalmboken 1749 Jönköping.	1749	Jönköping.	
Psalmboken 1749 Karlskrona.	1749	Karlskrona.	
Psalmboken 1749 Lund.	1749	Lund.	
Psalmboken 1749 Uppsala.	1749	Uppsala.	
Psalmboken 1750 Sthlm kongl.tr.	1750	Sthlm	kongl.tr.
Psalmboken 1751 Sthlm Grefing.	1751	Sthlm	Grefing.
Psalmboken 1751 Strängnäs.	1751	Strängnäs.	
Psalmboken 1752 Norrköping.	1752	Norrköping.	
Psalmboken 1752 Strängnäs.	1752	Strängnäs.	
Psalmboken 1753 Jönköping.	1753	Jönköping.	
Psalmboken 1753 Sthlm Grefing.	1753	Sthlm	Grefing.
Psalmboken 1753 Strängnäs.	1753	Strängnäs.	
Psalmboken 1754 Gbg	1754	Gbg	
Psalmboken 1754 Stockholm	1754	Stockholm	
Psalmboken 1755 Gbg.	1755	Gbg.	
Psalmboken 1755 Karlskrona.	1755	Karlskrona.	
Psalmboken 1755 Strängnäs.	1755	Strängnäs.	
Psalmboken 1756 Gbg.	1756	Gbg.	
Psalmboken 1756 Sthlm kongl.tr.	1756	Sthlm	kongl.tr.
Psalmboken 1756 Örebro.	1756	Örebro.	
Psalmboken 1757 Gbg.	1757	Gbg.	
Psalmboken 1757 Sthlm Kongl.tr.	1757	Sthlm	Kongl.tr.
