SAB	Översättning
Aa-f.012	Bibliografi: Mellaneuropa: författarlexikon
Aa-fa(p)	Bibliografi: Tyskland: periodika
Aa-fa	Bibliografi: Tyskland
Aa-fa.01(p)	Bibliografi: Tyskland: nationalbibliografier: periodika
Aa-fa.01	Bibliografi: Tyskland: nationalbibliografier
Aa-fa.011(p)	Bibliografi: Tyskland: periodikaförteckningar: periodika
Aa-fa.011	Bibliografi: Tyskland: periodikaförteckningar
Aa-fa.012	Bibliografi: Tyskland: författarlexikon
Aa-fa.012	Bibliografi: Tyskland: författarlexikon
Aa-fa.016	Bibliografi: Tyskland: översättningar
Aa-fa.018(p)	Bibliografi: Tyskland: officiellt tryck: periodika
Aa-fa.018	Bibliografi: Tyskland: officiellt tryck
Aa-fa.02	Bibliografi: Tyskland: handskrifter, inkunabler och rariteter
Aa-fa.021	Bibliografi: Tyskland: handskrifter
Aa-fa.04(p)	Bibliografi: Tyskland: tidskriftsindex och tidningsindex: periodika
Aa-fa.04	Bibliografi: Tyskland: tidskriftsindex och tidningsindex
Aa-fa.043	Bibliografi: Tyskland: referatpublikationer
Aa-fa.05(p)	Bibliografi: Tyskland: avhandlingar och program: periodika
Aa-fa.05	Bibliografi: Tyskland: avhandlingar och program
Aa-fa.061	Bibliografi: Tyskland: barnböcker och ungdomsböcker
Aa-fa.065	Bibliografi: Tyskland: skolböcker
Aa-fa.094	Bibliografi: Tyskland: kartor
Aa-fag(p)	Bibliografi: Västtyskland: periodika
Aa-fag	Bibliografi: Västtyskland
Aa-fag.012	Bibliografi: Västtyskland: författarlexikon
Aa-fag.05	Bibliografi: Västtyskland: avhandlingar och program
Aa-fah.01	Bibliografi: Östtyskland: nationalbibliografier
Aa-fah.012	Bibliografi: Östtyskland: författarlexikon
Aa-fah.05	Bibliografi: Östtyskland: avhandlingar och program
Aa-fb(p)	Bibliografi: Österrike: periodika
Aa-fb	Bibliografi: Österrike
Aa-fb.01(p)	Bibliografi: Österrike: nationalbibliografier: periodika
Aa-fb.011	Bibliografi: Österrike: periodikaförteckningar
Aa-fb.021	Bibliografi: Österrike: handskrifter
Aa-fb.04	Bibliografi: Österrike: tidskriftsindex och tidningsindex
Aa-fb.05(p)	Bibliografi: Österrike: avhandlingar och program: periodika
Aa-fb.05	Bibliografi: Österrike: avhandlingar och program
Aa-fb.061	Bibliografi: Österrike: barnböcker och ungdomsböcker
Aa-fb.07	Bibliografi: Österrike: förbjudna böcker
Aa-fc	Bibliografi: Ungern
Aa-fc.01(p)	Bibliografi: Ungern: nationalbibliografier: periodika
Aa-fc.01	Bibliografi: Ungern: nationalbibliografier
Aa-fc.011(p)	Bibliografi: Ungern: periodikaförteckningar: periodika
Aa-fc.011	Bibliografi: Ungern: periodikaförteckningar
Aa-fc.012	Bibliografi: Ungern: författarlexikon
Aa-fc.016	Bibliografi: Ungern: översättningar
Aa-fc.021	Bibliografi: Ungern: handskrifter
Aa-fc.022	Bibliografi: Ungern: inkunabler
Aa-fc.04	Bibliografi: Ungern: tidskriftsindex och tidningsindex
Aa-fc.05(p)	Bibliografi: Ungern: avhandlingar och program: periodika
Aa-fc.05	Bibliografi: Ungern: avhandlingar och program
Aa-fd(p)	Bibliografi: Tjeckien och Slovakien: periodika
Aa-fd	Bibliografi: Tjeckien och Slovakien
Aa-fd.01(p)	Bibliografi: Tjeckien och Slovakien: nationalbibliografier: periodika
Aa-fd.011	Bibliografi: Tjeckien och Slovakien: periodikaförteckningar
Aa-fd.012	Bibliografi: Tjeckien och Slovakien: författarlexikon
Aa-fd.016(p)	Bibliografi: Tjeckien och Slovakien: översättningar: periodika
Aa-fd.022	Bibliografi: Tjeckien och Slovakien: inkunabler
Aa-fd.05(p)	Bibliografi: Tjeckien och Slovakien: avhandlingar och program: periodika
Aa-fd.07	Bibliografi: Tjeckien och Slovakien: förbjudna böcker
Aa-fda.01(p)	Bibliografi: Tjeckien: nationalbibliografier: periodika
Aa-g	Bibliografi: Nederländerna, Belgien och Luxemburg
Aa-g.016	Bibliografi: Nederländerna, Belgien och Luxemburg: översättningar
Aa-g.094	Bibliografi: Nederländerna, Belgien och Luxemburg: kartor
Aa-ga(p)	Bibliografi: Nederländerna: periodika
Aa-ga	Bibliografi: Nederländerna
Aa-ga.01	Bibliografi: Nederländerna: nationalbibliografier
Aa-ga.011	Bibliografi: Nederländerna: periodikaförteckningar
Aa-ga.016	Bibliografi: Nederländerna: översättningar
Aa-ga.018	Bibliografi: Nederländerna: officiellt tryck
Aa-ga.021	Bibliografi: Nederländerna: handskrifter
Aa-ga.05	Bibliografi: Nederländerna: avhandlingar och program
Aa-ga.06	Bibliografi: Nederländerna: barnböcker och skolböcker
Aa-ga.07	Bibliografi: Nederländerna: förbjudna böcker
Aa-gb(p)	Bibliografi: Belgien: periodika
Aa-gb	Bibliografi: Belgien
Aa-gb.01(p)	Bibliografi: Belgien: nationalbibliografier: periodika
Aa-gb.011	Bibliografi: Belgien: periodikaförteckningar
Aa-gb.04	Bibliografi: Belgien: tidskriftsindex och tidningsindex
Aa-gb.05	Bibliografi: Belgien: avhandlingar och program
Aa-gb.06	Bibliografi: Belgien: barnböcker och skolböcker
Aa-gb.061	Bibliografi: Belgien: barnböcker och ungdomsböcker
Aa-gb.094	Bibliografi: Belgien: kartor
Aa-gc.01(p)	Bibliografi: Luxemburg: nationalbibliografier: periodika
Aa-gc.01	Bibliografi: Luxemburg: nationalbibliografier
Aa-gc.02	Bibliografi: Luxemburg: handskrifter, inkunabler och rariteter
Aa-gc.065	Bibliografi: Luxemburg: skolböcker
Aa-h(p)	Bibliografi: Schweiz: periodika
Aa-h	Bibliografi: Schweiz
Aa-h.01(p)	Bibliografi: Schweiz: nationalbibliografier: periodika
Aa-h.011	Bibliografi: Schweiz: periodikaförteckningar
Aa-h.012	Bibliografi: Schweiz: författarlexikon
Aa-h.018	Bibliografi: Schweiz: officiellt tryck
Aa-h.022	Bibliografi: Schweiz: inkunabler
Aa-h.05(p)	Bibliografi: Schweiz: avhandlingar och program: periodika
Aa-h.05	Bibliografi: Schweiz: avhandlingar och program
Aa-i(p)	Bibliografi: Italien: periodika
Aa-i	Bibliografi: Italien
Aa-i.01(p)	Bibliografi: Italien: nationalbibliografier: periodika
Aa-i.01	Bibliografi: Italien: nationalbibliografier
Aa-i.011	Bibliografi: Italien: periodikaförteckningar
Aa-i.012	Bibliografi: Italien: författarlexikon
Aa-i.014	Bibliografi: Italien: anonymlexikon och pseudonymlexikon
Aa-i.016	Bibliografi: Italien: översättningar
Aa-i.021	Bibliografi: Italien: handskrifter
Aa-i.022	Bibliografi: Italien: inkunabler
Aa-i.094	Bibliografi: Italien: kartor
Aa-ig.021	Bibliografi: Vatikanstaten: handskrifter
Aa-j(p)	Bibliografi: Frankrike: periodika
Aa-j	Bibliografi: Frankrike
Aa-j.01(p)	Bibliografi: Frankrike: nationalbibliografier: periodika
Aa-j.01	Bibliografi: Frankrike: nationalbibliografier
Aa-j.011	Bibliografi: Frankrike: periodikaförteckningar
Aa-j.012	Bibliografi: Frankrike: författarlexikon
Aa-j.016	Bibliografi: Frankrike: översättningar
Aa-j.018	Bibliografi: Frankrike: officiellt tryck
Aa-j.021	Bibliografi: Frankrike: handskrifter
Aa-j.04(p)	Bibliografi: Frankrike: tidskriftsindex och tidningsindex: periodika
Aa-j.04	Bibliografi: Frankrike: tidskriftsindex och tidningsindex
Aa-j.05(p)	Bibliografi: Frankrike: avhandlingar och program: periodika
Aa-j.05	Bibliografi: Frankrike: avhandlingar och program
Aa-j.061	Bibliografi: Frankrike: barnböcker och ungdomsböcker
Aa-j.07	Bibliografi: Frankrike: förbjudna böcker
Aa-j.42	Bibliografi: Frankrike: 1610-1715
Aa-j.44	Bibliografi: Frankrike: 1715-1789
