hubTitle	entity
Batrachomyomachia	Battle of the frogs and mice. · Latin and Greek.
Sept sages de Rome	Seven sages of Rome. · pol
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet.] · 1586 · heb
Bibeln	Bibeln. Estniska · [1739]
Renaut de Montauban	Renaut de Montauban. Italienska
Bibeln. Gamla Testamentet. Urval	Bible. · [O.T.] · Selections. · lat
Mishnah. Avot	Mishna. · [Avot. Svenska & Hebreiska]
Bibeln. Evangelierna	Bibeln. · [Evangelierna.] · Dewailly · fre
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Authorized. · 1633. · eng
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Syriska.
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1979 · Polyglott.
Tripiṭaka. Sūtrapiṭaka. Śūraṅgamasamādhisūtra	Tripiṭaka. · [Sūtrapiṭaka., Śūraṅgāmasamādhisūtra.] · eng
Den svenska psalmboken	Psalmboken 1782 Örebro.
Den svenska psalmboken	Psalmboken 1798 Sthlm Lindh.
Koranen	Koranen · swe
Den svenska psalmboken	Psalmboken 1803 Sthlm Lindh.
Gesta Romanorum	Gesta Romanorum. · 1698. · eng
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Vulgata. · 1538. · lat
Bibeln	Bibeln. · [Quesnel-Russel.] · eng
Seliḥot	Seliḥot. · Tyska & hebreiska
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet.] · 1983 · Spanska (Fornspanska).
Bibeln. Gamla Testamentet	Bible. · [O.T.] · Bedell. · 1685. · gle
Bibeln. Romarbrevet	Bibeln. · [Romarbrevet.] · Grekiska & Svenska
Evangelier och epistlar	Evangelier och epistlar 1693 Lund
Syriska Baruksapokalypsen	Syriska Baruksapokalypsen. · swe
Aisopos fabler	Aesop's fables. · eng
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet.] · 1871. · Polska (Fornpolska)
Almanackor	Almanack 1795 KVA Gbg.
Koranen	Koranen. Ryska
Den svenska psalmboken	Psalmboken 1785 Gbg.
Bibeln. Psaltaren. Urval	Bible. · [O.T., Psalms., Hunnis.] · Selections. · eng
Bibeln	Bibeln. · 1966 · Etiopiska.
Den svenska psalmboken	Psalmboken 1807 Sthlm Lindh.
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Geneva. · 1613. · eng
Kanjur	Kanjur. Mongoliska
Almanackor	Almanack 1766 KVA Gbg.
Bulletiner	Bulletin 1806-09-01
Bibeln. Psaltaren	Bible. · [O.T., Psalms., Sternhold and Hopkins.] · eng
Bibeln. Jesaja	Bibeln. · [Jesaja.] · Hebreiska & Tyska
Tripiṭaka. Sūtrapiṭaka. Saddharmapuṇḍarīkasūtra	Tripitaka. · [Sūtrapiṭaka., Saddharmapuṇḍarīkasūtra.]
Bibeln	Bible. · Tremellius. · 1648. · lat
Tipiṭaka. Suttapiṭaka. Majjhimanikāya	Majjhimanikāya
Den svenska psalmboken	Psalmboken 1739 Skara.
Puranas. Mārkaṇḍeyapurāṇa	Purana. · [Mārkaṇđ̌eyapurāṇa. Engelska]
Bibeln. Matteusevangeliet. Urval	Bibeln. · [Matteusevangeliet.] · Urval · Franska & Engelska.
Bibeln. Moseböckerna	Bibeln. · [Moseböckerna.] · Hebreiska & Spanjolska
Almanackor	Almanack 1790 KVA Gbg.
Bibeln	Bible. · 1969. · heb
Bibeln. Psaltaren	Bible. · [O.T., Psalms.] · 1588. · wel
Bibeln. Lukasevangeliet	Bibeln. · [Lukasevangeliet. Uzbekiska]
Bibeln. Urval	Bibeln. · Urval. · 1980. · eng
Bibeln	Bibeln · 1630 · lat
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1624 · Grekiska.
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1711 · ita
Bibeln. Lukasevangeliet	Bibeln. · [Lukasevangeliet.] · tel
Bibeln. Tobit	Bible. · [O.T., Apocrypha., Tobit.] · 1552. · dan
Den svenska psalmboken	Psalmboken 1787 Sthlm ordenstr.
Bibeln. Hesekiel	Bibeln. · [Hesekiel.] · dan
Bibeln	Bibeln. · tir
Bibeln	Bibeln. · Authorized. · 1615. · eng
Bhagavadgītā	Bhagavadgita. Ryska
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1999 · cpe
Midrash rabbah	Midrash rabba. · eng
Haggadah	Haggada. Ungerska & Hebreiska
Bibeln	Bibeln. · Authorized. · 1650. · eng
Bibeln. Habackuk	Bibeln. · [Habackuk. Tyska]
Bibeln. Klagovisorna	Bibeln. · [Klagovisorna. Latin]
Bibeln	Bibeln. · 1970 · fao
Bibeln. Romarbrevet	Bibeln. · [Romarbrevet.] · Althaus. · 1935 · ger
Almanackor	Almanack 1774 KVA Lund.
Almanackor	Almanack 1710 Celsius.
Sept sages de Rome	Seven sages of Rome. · 1677. · eng
Den svenska psalmboken	Psalmboken 1785 Jönköping.
Tusen och en natt. Urval	Tusen och en natt · Urval · eng
Bibeln. Uppenbarelseboken	Bibeln. · [Uppenbarelseboken.] · 1627 · Polyglott.
Bibeln	Bibeln. · 1495 · lat
Bibeln. Psaltaren	Bible. · [O.T., Psalms., Patrick.] · eng
Krákumál	Krákumál. · Engelska & Fornisländska
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet.] · 2009 · ger
Bibeln. Höga visan	Bibeln. · [Höga visan.] · swe
Bibeln. Matteusevangeliet	Bibeln. · [Matteusevangeliet.] · chu
Bibeln	Bibeln · New King James. · 1982 · eng
Puranas. Bhāgavatapurāṇa	Purāṇa. · [Bhāgavata-purāṇa.] · swe
Evangelier och epistlar	Evangelier och epistlar 1786 Sthlm Lange.
